timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 19:40:10.150, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.24
2026/05/28 19:40:15.176, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.22
2026/05/28 19:40:20.200, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.25
2026/05/28 19:40:25.226, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.21
2026/05/28 19:40:30.255, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.26
2026/05/28 19:40:35.280, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.19
2026/05/28 19:40:40.305, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.22
2026/05/28 19:40:45.331, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.24
2026/05/28 19:40:50.356, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.20
2026/05/28 19:40:55.382, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.18
2026/05/28 19:41:00.408, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.21
2026/05/28 19:41:05.433, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.21
2026/05/28 19:41:10.459, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.19
2026/05/28 19:41:15.484, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.22
2026/05/28 19:41:20.510, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.22
2026/05/28 19:41:25.537, 0, NVIDIA H200, 0, 0, 7375, 143771, 124.16
2026/05/28 19:41:30.565, 0, NVIDIA H200, 14, 0, 7375, 143771, 148.91
2026/05/28 19:41:35.591, 0, NVIDIA H200, 13, 0, 7375, 143771, 124.59
2026/05/28 19:41:40.616, 0, NVIDIA H200, 13, 0, 7375, 143771, 124.72
2026/05/28 19:41:45.642, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.62
2026/05/28 19:41:50.667, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.61
2026/05/28 19:41:55.691, 0, NVIDIA H200, 14, 0, 7375, 143771, 159.62
2026/05/28 19:42:00.717, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.67
2026/05/28 19:42:05.743, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.77
2026/05/28 19:42:10.770, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.62
2026/05/28 19:42:15.797, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.73
2026/05/28 19:42:20.822, 0, NVIDIA H200, 14, 0, 7375, 143771, 143.29
2026/05/28 19:42:25.848, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.62
2026/05/28 19:42:30.876, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.78
2026/05/28 19:42:35.900, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.64
2026/05/28 19:42:40.925, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.68
2026/05/28 19:42:45.949, 0, NVIDIA H200, 14, 0, 7375, 143771, 143.35
2026/05/28 19:42:50.975, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.64
2026/05/28 19:42:56.000, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.75
2026/05/28 19:43:01.026, 0, NVIDIA H200, 14, 0, 7375, 143771, 124.62
2026/05/28 19:43:06.050, 0, NVIDIA H200, 14, 0, 7375, 143771, 125.33
